diluent,replicate,isolates,inoculum,tpos
serum,2,KP_KPC_A,30000000,5.75
serum,2,KP_KPC_A,3000000,6.75
serum,2,KP_KPC_A,300000,7.8
serum,2,KP_KPC_A,30000,8.75
serum,2,KP_KPC_A,3000,
serum,2,KP_KPC_A,300,
serum,2,KP_KPC_A,30,
pbs,1,KP_KPC_B,300000000,4.8
pbs,1,KP_KPC_B,30000000,5.97
pbs,1,KP_KPC_B,3000000,6.97
pbs,1,KP_KPC_B,300000,7.82
pbs,1,KP_KPC_B,30000,8.83
pbs,1,KP_KPC_B,3000,
pbs,1,KP_KPC_B,300,
pbs,1,KP_KPC_B,30,
serum,2,KP_KPC_B,300000000,4.67
serum,2,KP_KPC_B,30000000,5.5
serum,2,KP_KPC_B,3000000,6.67
serum,2,KP_KPC_B,300000,7.77
serum,2,KP_KPC_B,30000,8.79
serum,2,KP_KPC_B,3000,
serum,2,KP_KPC_B,300,
serum,2,KP_KPC_B,30,
pbs,1,KP_NDM,300000000,4.82
pbs,1,KP_NDM,30000000,5.8
pbs,1,KP_NDM,3000000,6.87
pbs,1,KP_NDM,300000,7.87
pbs,1,KP_NDM,30000,8.7
pbs,1,KP_NDM,3000,
pbs,1,KP_NDM,300,
pbs,1,KP_NDM,30,
serum,2,KP_NDM,300000000,4.72
serum,2,KP_NDM,30000000,5.63
serum,2,KP_NDM,3000000,7.02
serum,2,KP_NDM,300000,7.98
serum,2,KP_NDM,30000,8.73
serum,2,KP_NDM,3000,
serum,2,KP_NDM,300,
serum,2,KP_NDM,30,
pbs,1,KP_VIM,300000000,4.87
pbs,1,KP_VIM,30000000,5.87
pbs,1,KP_VIM,3000000,7.17
pbs,1,KP_VIM,300000,8.03
pbs,1,KP_VIM,30000,9.03
pbs,1,KP_VIM,3000,
pbs,1,KP_VIM,300,
pbs,1,KP_VIM,30,
pbs,2,KP_VIM,300000000,5
pbs,2,KP_VIM,30000000,5.67
pbs,2,KP_VIM,3000000,6.83
pbs,2,KP_VIM,300000,7.83
pbs,2,KP_VIM,30000,9
pbs,2,KP_VIM,3000,
pbs,2,KP_VIM,300,
pbs,2,KP_VIM,30,
pbs,2,KP_NDM,300000000,4.97
pbs,2,KP_NDM,30000000,5.97
pbs,1,KP_NDM,3000000,7.1
pbs,1,KP_NDM,300000,7.97
pbs,1,KP_NDM,30000,8.67
pbs,1,KP_NDM,3000,
pbs,1,KP_NDM,300,
pbs,1,KP_NDM,30,
pbs,1,KP_NDM,300000000,5.05
pbs,1,KP_NDM,30000000,5.95
pbs,1,KP_NDM,3000000,6.8
pbs,1,KP_NDM,300000,8.33
pbs,1,KP_NDM,30000,8.83
pbs,1,KP_NDM,3000,
pbs,1,KP_NDM,300,
pbs,1,KP_NDM,30,
